Galaxy,Halpha Region,RA,DEC,F_K_s,F_K_s_upper_limit,F_K_s_err,D,D_err,M_K_s,M_K_s_err,log(L_4.5),log(L_4.5)_err,log(M_star),log(M_star)_err,M_B,M_B_err,M_4.5,M_4.5_err,B-V,B-V_err,t_2,t_2_err,t_3,t_3_err,O+/H+,O+/H+_err,O++/H+,O++/H+_err,O/H,O/H_err,12 + log(O/H),12 + log(O/H)_err,N+/H+,N+/H+_err,log(N/O),log(N/O)_err,N/H,N/H_err,[OII]3727,u_[OII]3727,HeI3820,u_HeI3820,H93835,u_H93835,[NeIII]3868,u_[NeIII]3868,HeI+H83889,u_HeI+H83889,[NeIII]+H73968,u_[NeIII]+H73968,HeI4026,u_HeI4026,[SII]4068,u_[SII]4068,Hdelta,u_Hdelta,Hgamma,u_Hgamma,[OIII]4363,u_[OIII]4363,HeI4471,u_HeI4471,[FeIII]4658,u_[FeIII]4658,HeII4686,u_HeII4686,Hbeta,u_Hbeta,[OIII]4959,u_[OIII]4959,[OIII]5007,u_[OIII]5007,[NI]5199,u_[NI]5199,HeI5876,u_HeI5876,[OI]6300,u_[OI]6300,[SIII]6312,u_[SIII]6312,[OI]6363,u_[OI]6363,[NII]6548,u_[NII]6548,Halpha,u_Halpha,[NII]6584,u_[NII]6584,HeI6678,u_HeI6678,[SII]6717,u_[SII]6717,[SII]6731,u_[SII]6731,c(Hbeta),u_c(Hbeta),F(Hbeta),u_F(Hbeta),EW(Hbeta),EW(Halpha)
NGC 2537,B,49.6624999999998,45.99166666666667,160.0,,10.0,6.88,,-20.36,0.51,9.47,0.61,9.1,0.61,-17.14,0.5,-20.34,0.61,0.72,,11800.0,900.0,11200.0,900.0,5.26,1.48,4.23,0.96,9.49,1.76,7.98,0.07,5.13,0.88,-1.0,0.02,9.41,1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGC 4278,B,52.43124999999963,45.74361111111112,35.8,,5.1,7.6,,-18.73,0.52,9.03,0.6,8.5,0.6,-16.36,0.5,-19.24,0.6,0.35,,13300.0,1000.0,14200.0,1000.0,2.53,0.61,2.32,0.41,4.85,0.73,7.69,0.06,0.57,0.09,-1.63,0.03,1.11,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGC 4278,A,52.43124999999963,45.74361111111112,35.8,,5.1,7.6,,-18.73,0.52,9.03,0.6,8.5,0.6,-16.36,0.5,-19.24,0.6,0.35,,13500.0,600.0,14600.0,600.0,2.01,0.27,2.86,0.28,4.87,0.38,7.69,0.03,0.52,0.05,-1.58,0.03,1.27,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC 2552,A,72.44999999999932,50.01027777777778,54.9,,8.1,7.7,,-19.21,0.52,9.2,0.61,8.69,0.61,-16.72,0.5,-19.67,0.61,0.43,0.04,11400.0,500.0,10400.0,500.0,5.27,0.88,8.93,1.23,14.19,1.52,8.15,0.04,3.57,0.37,-1.16,0.02,9.68,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGC 4393,B,97.77499999999932,45.967777777777776,,,,16.8,2.9,,,9.99,0.86,9.43,0.86,-17.67,0.85,-21.65,0.86,0.6,,12100.0,1000.0,11700.0,1000.0,4.55,1.36,6.92,1.64,11.5,0.2,8.06,0.07,3.63,0.66,-1.09,0.02,9.39,1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGC 4393,C,97.77499999999932,45.967777777777776,,,,16.8,2.9,,,9.99,0.86,9.43,0.86,-17.67,0.85,-21.65,0.86,0.6,,12800.0,800.0,13100.0,800.0,5.8,1.22,3.92,0.63,9.72,1.37,7.99,0.06,3.25,0.42,-1.24,0.02,5.55,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CGCG 35-007,,355.3062499999993,6.425555555555556,13.5,,3.4,5.2,,-16.83,0.51,7.97,0.61,7.69,0.61,-13.38,0.51,-16.58,0.61,0.54,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGC 5139,A,16.874999999999144,71.18472222222222,16.0,,7.3,3.9,0.05,-16.41,0.2,8.04,0.51,7.39,0.51,-14.42,0.12,-16.76,0.51,0.36,0.07,12800.0,800.0,13000.0,800.0,2.7,0.6,5.65,0.95,8.35,1.13,7.92,0.05,0.72,0.12,-1.56,0.05,2.3,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IC 559,A,32.73749999999921,9.615,23.7,,4.1,4.9,,-17.34,0.51,8.21,0.61,7.86,0.61,-14.12,0.5,-17.19,0.61,0.48,,12000.0,1400.0,11500.0,1300.0,5.63,2.31,6.18,2.02,11.81,3.07,8.07,0.1,1.74,0.46,-1.47,0.05,3.97,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGC 5272,A,53.89999999999957,31.48777777777778,15.8,,4.2,7.11,0.77,-17.7,0.55,8.49,0.64,8.0,0.64,-14.98,0.55,-17.9,0.64,0.37,,13300.0,500.0,14100.0,200.0,1.34,0.17,6.12,0.22,7.46,0.27,7.87,0.02,0.34,0.03,-1.59,0.02,1.92,0.12,1.06,0.02,0.014,0.002,0.084,0.002,0.375,0.007,0.197,0.004,0.194,0.004,0.015,0.003,,,0.26,0.01,0.46,0.01,0.083,0.002,0.036,0.002,,,,,1.0,0.02,1.66,0.03,4.94,0.1,,,0.101,0.001,0.013,0.001,0.02,0.001,0.004,0.001,0.01,0.001,2.83,0.06,0.035,0.001,0.029,0.002,0.079,0.002,0.055,0.002,0.08,0.01,101.0,2.0,201.0,943.0
